carbon_precursors,MgO_precursors,Mg_loading_method,act1_type,act2_type,carb1_type,carb2_type,post_treatment_type,SBET_m2_g,Vtotal_cm3_g,Vmicro_cm3_g,MgO_mass_ratio,temperature_C,pressure_bar,act1_temp_C,act1_duration_h,act2_temp_C,act2_duration_h,carb1_temp_C,carb1_duration_h,carb2_temp_C,carb2_duration_h,Vmeso_cm3_g,microporosity,MgO_surface_density,T_lnP,inv_T_K
12.0,0.0,2.0,3.0,1.0,3.0,2.0,2.0,760.0,0.56,0.222,0.03,25.0,0.15,700.0,1.4,700.0,1.0,600.0,1.0,600.0,2.0,0.3380000000000001,0.3964285714285714,0.039473684210526314,-45.81453659370776,0.0033540164346805303
12.0,0.0,2.0,3.0,1.0,3.0,2.0,3.0,741.0,0.421,0.221,0.03,25.0,0.15,700.0,1.4,700.0,1.0,600.0,1.0,600.0,2.0,0.19999999999999998,0.5249406175771971,0.04048582995951417,-45.81453659370776,0.0033540164346805303
12.0,0.0,2.0,3.0,1.0,3.0,2.0,2.0,760.0,0.801,0.164,0.1,25.0,0.15,700.0,1.4,700.0,1.0,600.0,1.0,600.0,2.0,0.637,0.20474406991260924,0.13157894736842105,-45.81453659370776,0.0033540164346805303
12.0,0.0,2.0,3.0,1.0,3.0,2.0,2.0,760.0,0.801,0.164,0.1,100.0,0.15,700.0,1.4,700.0,1.0,600.0,1.0,600.0,2.0,0.637,0.20474406991260924,0.13157894736842105,-183.25814637483103,0.0026798874447273215
12.0,0.0,2.0,3.0,1.0,3.0,2.0,3.0,676.0,0.547,0.17,0.1,25.0,0.15,700.0,1.4,700.0,1.0,600.0,1.0,600.0,2.0,0.377,0.31078610603290674,0.14792899408284024,-45.81453659370776,0.0033540164346805303
12.0,0.0,2.0,3.0,1.0,0.0,2.0,2.0,743.0,0.403,0.197,0.03,25.0,0.15,700.0,1.4,700.0,1.0,325.0,4.0,600.0,2.0,0.20600000000000002,0.48883374689826303,0.040376850605652756,-45.81453659370776,0.0033540164346805303
12.0,0.0,2.0,3.0,1.0,0.0,2.0,3.0,667.0,0.348,0.191,0.03,25.0,0.15,700.0,1.4,700.0,1.0,325.0,4.0,600.0,2.0,0.15699999999999997,0.5488505747126438,0.04497751124437781,-45.81453659370776,0.0033540164346805303
12.0,0.0,2.0,3.0,1.0,0.0,2.0,2.0,671.0,0.449,0.139,0.1,25.0,0.15,700.0,1.4,700.0,1.0,325.0,4.0,600.0,2.0,0.31,0.30957683741648107,0.14903129657228018,-45.81453659370776,0.0033540164346805303
12.0,0.0,2.0,3.0,1.0,0.0,2.0,3.0,651.0,0.337,0.173,0.1,25.0,0.15,700.0,1.4,700.0,1.0,325.0,4.0,600.0,2.0,0.16400000000000003,0.5133531157270029,0.15360983102918588,-45.81453659370776,0.0033540164346805303
12.0,0.0,2.0,3.0,1.0,0.0,2.0,3.0,760.0,0.399,0.232,0.03,25.0,0.15,700.0,1.4,700.0,1.0,325.0,4.0,600.0,2.0,0.167,0.581453634085213,0.039473684210526314,-45.81453659370776,0.0033540164346805303
